0: obj_backgrounder_parent
1: obj_musicobjectparent
2: obj_solidsmall
3: obj_solidthin
4: obj_solidtall_2
5: obj_solidextall_2
6: obj_solidexwide
7: obj_solidline
8: obj_solidwide
9: obj_diagoparent
10: obj_sdr
11: obj_sdl
12: obj_sur
13: obj_sul
14: obj_solidtall
15: obj_solidlong
16: obj_solidlongleft
17: obj_core_bridgeleg
18: obj_core_glowbg
19: obj_core_glowtotem
20: obj_core_glowwall
21: obj_core_lightline_l
22: obj_core_lightline_m
23: obj_core_lightline_r
24: obj_core_lightstrip
25: obj_core_lightstrip_m
26: obj_coreobj_parent
27: obj_coredoor_anim
28: obj_bigcoredoor_anim
29: obj_coresign
30: obj_darktotem_anim
31: obj_elev_floorsign
32: obj_elevatorgem
33: obj_soundtest
34: obj_mkid_goner
35: obj_gaster_follower_a
36: obj_gaster_follower_b
37: obj_gaster_follower_c
38: obj_greydoor
39: obj_mysteryman
40: obj_wrongnumbersong
41: obj_otherphonecall
42: obj_magicglass
43: obj_magicglass_personal
44: obj_cosmeticpillar_a
45: obj_cosmeticpillar_b
46: obj_icecavewall
47: obj_icetosteam
48: obj_waterfall_waterfall
49: obj_brightwaterfall
50: obj_dockanim
51: obj_cogsmall
52: obj_hotland_bottomedge
53: obj_hotland_rededge
54: obj_hotland_rededge_x
55: obj_piper_bluejet
56: obj_piper_steam
57: obj_redpipev
58: obj_steamplume2
59: obj_lighttower
60: obj_gaster_room
61: obj_endcastlemusic
62: obj_pitsound
63: obj_menumusictest
64: obj_ruinsmusic
65: obj_coremusic
66: obj_sansmusic
67: obj_lavamusic
68: obj_hotelmusic
69: obj_lavaoogmusic
70: obj_coreambiencemusic
71: obj_tundramusic
72: obj_townmusic
73: obj_ambientwater
74: obj_ambientrain
75: obj_watermusic
76: obj_undynecoolmusic
77: obj_quietwatermusic
78: obj_temvillagemusic
79: obj_labmusic
80: obj_truelabmusic
81: obj_mysterymusic
82: obj_castle_part1music
83: obj_castle_part2music
84: obj_tundramusicspecial1
85: obj_housemusic
86: obj_basementmusic
87: obj_musicchecker
88: obj_birbnoise
89: obj_walknoise
90: obj_soundcombo
91: obj_foodsound
92: obj_musfadeout
93: obj_musfadepause
94: obj_undertaletitle
95: obj_intromenu
96: obj_introlast
97: obj_titleimage
98: obj_introfader
99: obj_introtangle
100: obj_introimage
101: obj_ct_fallobj
102: obj_joypadmenu
103: obj_controltest
104: obj_lightray
105: obj_trianglelightray
106: obj_roomofdog
107: obj_genanim
108: obj_genafterimage
109: obj_confetti
110: obj_bouncer
111: obj_pollener
112: obj_fx_waver
113: obj_whitesploder
114: obj_glowparticle_1
115: obj_glowparticlegen_1
116: obj_bg_glower
117: obj_imageview
118: obj_flasher
119: obj_glowfly1
120: obj_icecave_fader
121: obj_watercave_fader
122: obj_waterstar_bg
123: obj_backgrounder_dock
124: obj_backgrounder_tundra
125: obj_backgrounder_core
126: obj_backgrounder_lava
127: obj_backgrounder_lastruins
128: obj_backgrounder_castle
129: obj_garden_overlayshadow
130: obj_backgrounder_pillar
131: obj_finalbarrier
132: obj_hotlandparalava
133: obj_hotlandrock_bg
134: obj_mainend
135: obj_endflowey
136: obj_endflowey_regret
137: obj_credits_short
138: obj_screen
139: obj_quittingmessage
140: obj_battleblcon
141: obj_transheart
142: obj_battler
143: obj_battlerflowey
144: obj_battlerquick
145: obj_battlerstory
146: obj_tempblack
147: obj_fader
148: obj_persistentfader
149: obj_unfader
150: obj_whitefader
151: obj_transitioner
152: obj_musfadein
153: obj_gameover
154: obj_battlecontroller
155: obj_vaporized_new
156: obj_vaporized_old
157: obj_vaporized
158: obj_vaporizedspare
159: obj_spared
160: obj_vaporacquirer
161: obj_friendgraph
162: obj_graphparent
163: obj_egggraph
164: obj_specialgraph
165: obj_daygraph
166: obj_crimegraph
167: obj_radar
168: obj_populationgraph
169: obj_papdate
170: obj_adate
171: obj_alphys_fly
172: obj_ua_throwtest
173: obj_adate_papyrus
174: obj_garbagebg
175: obj_adate_trashcan
176: obj_adate_body
177: obj_adate_ubody
178: obj_instantnoodleitem
179: obj_blackborderer
180: obj_gameoverbg
181: obj_battlefader
182: obj_dustcloud
183: obj_hpname
184: obj_shaker
185: obj_battlebg
186: obj_blconsm
187: obj_blconwdflowey
188: obj_blconwideslave
189: obj_dmgwriter
190: obj_dmgwriter_old
191: obj_whtpxlgrav
192: obj_blkpxlgrav
193: obj_blkpxltall
194: obj_blkpxl0tall
195: obj_coverup
196: obj_torieldisapprove
197: obj_guidearrows
198: obj_floweybattle1
199: obj_dummymonster
200: obj_torielcutscene
201: obj_floweydraw
202: obj_winkstar
203: obj_fakefroggit
204: object391
205: obj_testmonster
206: obj_whimsun
207: obj_migosp
208: obj_vegetoid
209: obj_loox
210: obj_napstablook
211: obj_torielboss
212: obj_moldsmal
213: obj_froggit
214: obj_froglegs
215: obj_froghead
216: obj_icecap
217: obj_jerry
218: obj_icecube
219: obj_dogeparent
220: obj_lesserdoge
221: obj_lesserdogetail
222: obj_lesserdogehead
223: obj_dogeBtail
224: obj_greatdog
225: obj_glydeshot
226: obj_bigglydeshot
227: obj_glyde_body
228: obj_glydeb
229: obj_papyrusdeadhead
230: obj_papyrusdeadbody
231: obj_papyrusbody
232: obj_papyrusboss
233: obj_gyftrotgift
234: obj_gyfcloud
235: obj_gyftrot
236: obj_gyftrothead
