 | plot                               | file                                           | 
 |-------------------------------------------------------------------------------------| 
 | self.xplot - 1                     | gml_Object_obj_papyrus5_Step_0                 | 
 | obj_papyrus5.xplot + 1             | gml_Object_obj_xoxocontroller1_Collision_1569  | 
 | file_text_read_real(self.myfileid) | gml_Script_scr_load                            | 
 | 0                                  | gml_Script_SCR_GAMESTART                       | 
 | 1                                  | gml_Object_obj_floweytrigger_Alarm_0           | 
 | 1                                  | gml_Object_obj_floweytrigger_Collision_1569    | 
 | 1                                  | gml_Object_obj_floweytrigger_Step_0            | 
 | 1                                  | gml_Object_obj_torielcutscene_Alarm_2          | 
 | 2                                  | gml_Object_obj_savepoint_Step_1                | 
 | 2                                  | gml_Object_obj_toroverworld2_Collision_877     | 
 | 2                                  | gml_Object_obj_toroverworld6_Collision_877     | 
 | 3                                  | gml_Object_obj_torieltrigger1_Step_0           | 
 | 4                                  | gml_Object_obj_torieltrigger2_Step_0           | 
 | 4.5                                | gml_Object_obj_plotswitch1_Step_0              | 
 | 5                                  | gml_Object_obj_plotswitch2_Step_0              | 
 | 5.5                                | gml_Object_obj_torieltrigger3_Step_0           | 
 | 6                                  | gml_Object_obj_dummy1_Step_0                   | 
 | 7                                  | gml_Object_obj_torieltrigger3_Step_0           | 
 | 7.5                                | gml_Object_obj_torhandhold1_Create_0           | 
 | 8                                  | gml_Object_obj_torhandhold1_Step_2             | 
 | 8.5                                | gml_Object_obj_toroverworld7_Step_0            | 
 | 9                                  | gml_Object_obj_torieltrigger4_Collision_1569   | 
 | 9.2                                | gml_Object_obj_torielcall1_Step_0              | 
 | 9.4                                | gml_Object_obj_torielcall2_Step_0              | 
 | 9.6                                | gml_Object_obj_torielcall3_Step_0              | 
 | 9.8                                | gml_Object_obj_torielcall4_Step_0              | 
 | 10.3                               | gml_Object_obj_napstablook_Alarm_6             | 
 | 10.3                               | gml_Object_obj_napstablook_Alarm_6             | 
 | 10.35                              | gml_Object_obj_napstablook1_Step_1             | 
 | 10.4                               | gml_Object_obj_napstablook1_Alarm_4            | 
 | 10.4                               | gml_Object_obj_napstablook1_Create_0           | 
 | 11                                 | gml_Object_obj_napstablook1_Step_1             | 
 | 11                                 | gml_Object_obj_torielboss_Alarm_6              | 
 | 12                                 | gml_Object_obj_torielcall5_Step_0              | 
 | 13                                 | gml_Object_obj_plotswitch3_Step_0              | 
 | 14                                 | gml_Script_SCR_TEXT                            | 
 | 15                                 | gml_Script_SCR_TEXT                            | 
 | 16                                 | gml_Script_SCR_TEXT                            | 
 | 17                                 | gml_Object_obj_torieltrigger5_Step_0           | 
 | 18                                 | gml_Object_obj_torieltrigger6_Step_0           | 
 | 19                                 | gml_Object_obj_torieltrigger7_Step_0           | 
 | 19.1                               | gml_Script_SCR_TEXT                            | 
 | 19.2                               | gml_Script_SCR_TEXT                            | 
 | 19.3                               | gml_Script_SCR_TEXT                            | 
 | 19.4                               | gml_Script_SCR_TEXT                            | 
 | 19.9                               | gml_Script_SCR_TEXT                            | 
 | 19.9                               | gml_Script_SCR_TEXT                            | 
 | 20                                 | gml_Object_obj_chairiel_Step_1                 | 
 | 21                                 | gml_Object_obj_chairiel_Other_7                | 
 | 22                                 | gml_Object_obj_torieltrigger9_Step_0           | 
 | 23                                 | gml_Object_obj_torieltrigger10_Step_0          | 
 | 24                                 | gml_Object_obj_torieltrigger11_Step_0          | 
 | 25                                 | gml_Object_obj_torieltrigger12_Alarm_2         | 
 | 25                                 | gml_Object_obj_torieltrigger12_Step_0          | 
 | 28                                 | gml_Object_obj_floweytrigger2_Alarm_1          | 
 | 28                                 | gml_Object_obj_floweytrigger2_Alarm_2          | 
 | 30                                 | gml_Object_obj_demodoorA_Other_19              | 
 | 36                                 | gml_Object_obj_darksans1_Step_0                | 
 | 36                                 | gml_Object_obj_darksans1_Step_0                | 
 | 37                                 | gml_Object_obj_papyrus1_Alarm_2                | 
 | 37                                 | gml_Object_obj_papyrus2_Alarm_2                | 
 | 37                                 | gml_Object_obj_papyrus3_Alarm_2                | 
 | 37                                 | gml_Object_obj_papyrus4_Alarm_2                | 
 | 37                                 | gml_Object_obj_papyrus5_Alarm_2                | 
 | 37                                 | gml_Object_obj_sansbyetrigger_Alarm_2          | 
 | 40                                 | gml_Object_obj_papyrus1_Step_0                 | 
 | 41                                 | gml_Object_obj_movedoge_Destroy_0              | 
 | 42                                 | gml_Object_obj_dogetrigger1_Step_0             | 
 | 42                                 | gml_Object_obj_dogetrigger1_Step_0             | 
 | 43                                 | gml_Object_obj_papyrus2_Step_0                 | 
